rank,character_name,votes
1,1主人公【坊ちゃん】,651
2,ルック,422
3,テッド,273
4,フリック,227
5,2主人公【2主】,212
6,4主人公【4様】,207
7,グレミオ,193
8,ビクトール,122
9,ルカ・ブライト,106
10,ササライ,101
11,ジョウイ・アトレイド（ブライト）,97
12,マイクロトフ,81
13,ナッシュ・ラトキエ（クロービス）,78
14,シーナ,71
15,ナナミ,70
16,シード,64
17,フッチ,62
18,スタリオン,61
19,ゲオルグ・プライム,60
20,クライブ,56
21,キニスン,53
22,シュウ,47
23,ゲド,40
24,カイル,39
25,シエラ・ミケーネ,38
26,5主人公【王子】,33
26,トーマス,33
26,ユーバー,33
27,シーザー・シルバーバーグ,31
28,カミュー,29
29,ビッキー,26
29,マッシュ・シルバーバーグ,26
30,クリス・ライトフェロー,25
31,ヒューゴ,24
32,スノウ・フィンガーフート,23
33,アルベルト・シルバーバーグ,22
34,ティアクライス主人公【団長】,21
35,セラ,20
35,ヤム・クー,20
36,クルガン,19
37,パーシヴァル・フロイライン,18
38,クラウス・ウィンダミア,17
38,リウ・シエン,17
38,リヒャルト,17
39,シロ,16
40,ゼフォン,15
40,ペシュメルガ,15
41,ジーン,14
41,ジャック,14
41,ロイ,14
42,キリル,13
42,ザムザ,13
42,シグレ,13
42,トリスタン,13
43,トロイ,12
43,ベルクート,12
43,ミリー,12
43,ラミン,12
43,炎の英雄,12
44,カスミ,11
44,キカ,11
44,クレオ,11
44,ケネス,11
44,ジェレミー,11
44,チャコ,11
44,リオン,11
44,ルセリナ・バロウズ,11
45,カミーユ,10
46,オデッサ・シルバーバーグ,9
46,テンプルトン,9
46,ハンフリー,9
46,ミアキス,9
46,ルビィ,9
46,レイチェル,9
47,オロク,8
47,グレンシール,8
47,シド,8
47,ジョー軍曹,8
47,ロベルト,8
47,紡時主人公【紡主】,8
48,アスアド,7
48,エルザ,7
48,ザヴィド,7
48,ディルク,7
48,テンガアール,7
48,ボルス・レッドラム,7
49,アルド,6
49,カーン・マリィ,6
49,シグルド,6
49,シドニア,6
49,ヘルムート,6
49,ユウ,6
49,ユージン,6
49,ラマダ,6
49,リムスレーア・ファレナス,6
49,レギウス,6
50,アレン,5
50,サスケ,5
50,トラヴィス,5
50,ハーヴェイ,5
50,パーン,5
50,ミルイヒ・オッペンハイマー,5
50,ユーラム・バロウズ,5
50,リヒャルトのお父さん,5
51,オウラン,4
51,ギゼル,4
51,キバ・ウィンダミア,4
51,キルケ,4
51,ゲン,4
51,サロメ・ハラス,4
51,ジェイル,4
51,セシル,4
51,タイ・ホー,4
51,ハスワール,4
51,ビュクセ,4
51,フェリド,4
51,フレア,4
51,フレッド・マクシミリアン,4
51,ホウアン,4
51,ヨシュア,4
51,リッチモンド,4
51,リュセリ,4
51,ルクレティア・メルセス,4
51,レーヴン,4
51,ワイアット・ライトフェロー（ジンバ）,4
51,ワカバ,4
52,アレニア,3
52,イク,3
52,エース,3
